$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category
00412D,Z-WPF,Air Zimbabwe,Boeing 767,B762,Gov,Utility,Long Range,Twin Engine,Passenger - Widebody
00415C,Z-WPE,Air Zimbabwe,Boeing 767,B762,Gov,Utility,Long Range,Twin Engine,Passenger - Widebody
0082C0,ZS-BAL,United Nations,BAe 125,H25B,Gov,Utility,Long Range,Twin Engine,Business Jet
00870E,ZS-ATD,United Nations,LET L-410 UVP-E,L410,Gov,Tactical Transport,STOL,Twin Turboprop,Tactical Airlift
00871C,ZS-CRJ,United Nations,Mitsubushi CRJ-100ER,CRJ1,Gov,Utility,Multi-Role,Twin Engine,Regional Passenger
0093AB,ZS-HLA,South African Fire Fighting Association,Bell UH-1H Iroquois,UH1,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
0093B5,ZS-HLK,South African Fire Fighting Association,Bell UH-1H Iroquois,UH1,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
0093C2,ZS-HLX,South African Fire Fighting Association,Bell UH-1H Iroquois,UH1,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
0093C4,ZS-HLZ,South African Fire Fighting Association,Bell UH-1H Iroquois,UH1,Gov,Utility,Medium Lift,Rotorcraft,Helicopter - Utility
0097DB,ZS-JAG,United Nations,Beechcraft 1900D,B190,Gov,Utility,Multi-Role,Twin Turboprop,Regional Passenger
00AEC9,ZS-RSA,South African Air Force,Boeing 737-BBJ,B737,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
010024,SU-GGG,Gov of Egypt,Airbus A340-212,A342,Gov,Utility,Long Range,Quad Engine,Passenger - Widebody
01003D,SU-BNC,Gov of Egypt,Gulfstream G-IV SP,GLF4,Gov,Utility,Long Range,Twin Engine,Business Jet
010057,SU-BNO,Gov of Egypt,Gulfstream G-IV SP,GLF4,Gov,Utility,Long Range,Twin Engine,Business Jet
010058,SU-BNP,Government of Egypt,Gulfstream G-IV SP,GLF4,Gov,Utility,Long Range,Twin Engine,Business Jet
01006B,SU-AYD,Gov of Egypt,Dassault Falcon 20 F5B,FA20,Gov,Maritime Patrol,High Endurance,Twin Engine,Maritime Patrol
01006C,SU-AZJ,Gov of Egypt,Dassault Falcon 20 F5B,FA20,Gov,Maritime Patrol,High Endurance,Twin Engine,Maritime Patrol
01006D,SU-AXN,Gov of Egypt,Dassault Falcon 20 E5B,FA20,Gov,Maritime Patrol,High Endurance,Twin Engine,Maritime Patrol
010070,SU-BGM,Government of Egypt,Gulfstream G-IV,GLF4,Gov,Utility,Long Range,Twin Engine,Business Jet
01008E,SU-BPE,Gov of Egypt,Gulfstream G400,GLF4,Gov,Utility,Long Range,Twin Engine,Business Jet
01008F,SU-BPF,Gov of Egypt,Gulfstream G400,GLF4,Gov,Utility,Long Range,Twin Engine,Business Jet
010137,SU-BRF,Gov of Egypt,Cessna Citation Sovereign,C680,Gov,Utility,Long Range,Twin Engine,Business Jet
010148,SU-BRG,Government of Egypt,Cessna Citation Sovereign,C680,Gov,Utility,Long Range,Twin Engine,Business Jet
0101D0,SU-BTU,Government of Egypt,Dassault Falcon 7X,FA7X,Gov,Utility,Long Range,Jet,Business Jet
0101D1,SU-BTV,Government of Egypt,Dassault Falcon 7X,FA7X,Gov,Utility,Long Range,Jet,Business Jet
0101D2,SU-BTW,Gov of Egypt,Dassault Falcon 8X,FA8X,Gov,Utility,Long Range,Jet,Business Jet
0101D3,SU-BTT,Government of Egypt,Dassault Falcon 7X,FA7X,Gov,Utility,Long Range,Jet,Business Jet
018019,5A-DCN,Gov of Libya,Dassault Falcon 900EX,F900,Gov,Utility,Long Range,Jet,Business Jet
018021,5A-ONE,Gov of Libya,Airbus A340-213,A342,Gov,Utility,Long Range,Quad Engine,Passenger - Widebody
018030,5A-UAA,Gov of Libya,Bombardier Challenger 300,CL30,Gov,Utility,Long Range,Twin Engine,Business Jet
018098,5A-POL,Libyan Government,Ilyushin IL-76TD,IL76,Gov,Strategic Transport,Heavy Lift,Rear Ramp,Strategic Airlift
0200CC,CN-MVI,Gov of Morocco,Boeing 737-BBJ,B737,Gov,Utility,Multi-Role,Twin Engine,Passenger - Narrowbody
0200E6,CN-ATM,Royal Moroccan Air Force,Bombardier CL-415 T,CL2T,Gov,Utility,Amphibious,Twin Turboprop,Special Mission
