raw_value,match_key
a-10,A10
a-4,A4
a-50,A50
a318,A318
a319,A319
a320,A320
a321,A321
a330,A332
a340,A342
a400m,A400
a400m atlas,A400
ah-64,H64
albatros,L39
alpha jet,AJET
an 2,AN2
an-12,AN12
an-124,A124
an-148,A148
an-2,AN2
an-26,AN26
an-30,AN30
an-72,AN72
an-74,AN72
apache,H64
as-350,AS50
as-565,AS65
as350,AS50
as565,AS65
atlantique,ATLA
atlas,A400
av-8b,HAR
aw-101,EH10
aw-109,A109
aw-119,A119
aw-139,A139
aw-169,A169
aw-189,A189
aw101,EH10
aw109,A109
aw119,A119
aw139,A139
aw169,A169
aw189,A189
aztec,PA27
b-1b,B1
b-25,B25
b-52,B52
beaver,DHC2
beechjet,BE40
bell 206,B06
bell 212,B212
bell 407,B407
bell 412,B412
bell 429,B429
bell 430,B430
bk-117,BK17
bk117,BK17
black hawk,H60
blackhawk,H60
bo 105,B105
bo-105,B105
c-130,C130
c-130j,C30J
c-17,C17
c-27j,C27J
c-5m,C5M
caravan,C208
ch-47,H47
ch-53,H53
ch-53k,H53S
challenger 300,CL30
challenger 350,CL35
challenger 600,CL60
chieftain,PA31
chinook,H47
chipmunk,DHC1
citation cj3,C25B
citation cj4,C25C
citation sii,C550
citation sovereign,C680
citation ultra,C560
citation xls,C56X
cl-215,CL2P
cl-415,CL2T
ct-156,TEX2
dash 8,DH8C
dauphin,AS65
dh-82,DH82
dhc-1,DHC1
dhc-2,DHC2
dhc-6,DHC6
dhc-8,DH8C
dolphin,AS65
e-2,E2
e-2d,E2
e-3 sentry,E3TF
e-3b,E3TF
e-3d,E3CF
e-8c,B703
eagle,F15
ec 225,EC25
ec-120,EC20
ec-130,EC30
ec-135,EC35
ec-135,R135
ec-145,EC45
ec-155,EC55
ec120,EC20
ec130,EC30
ec135,EC35
ec145,EC45
ec155,EC55
ec225,EC25
ecureuil,AS50
eurofighter,EUFI
explorer,EXPL
extender,DC10
extra 300,E300
f-15,F15
f-15c,F15
f-15d,F15
f-15e,F15
f-16,F16
f-16c,F16
f-16d,F16
f-18,F18H
f/a-18,F18H
falcon 20,FA20
falcon 2000,F2TH
falcon 50,FA50
falcon 7x,FA7X
falcon 8x,FA8X
falcon 900,F900
falcon f1,MRF1
fennec,AS50
fighting falcon,F16
galaxy,C5M
gazelle,GAZL
global 5000,GL5T
global 7500,GL7T
global express,GLEX
globalranger,B429
globemaster,C17
goshawk,HAWK
grand caravan,C208
gripen,SB39
grob 115,G115
grob tutor,G115
gulfstream g-ii,GLF2
gulfstream g-iii,GLF3
gulfstream g-iv,GLF4
gulfstream g-v,GLF5
gulfstream g280,G280
gulfstream g500,GA5C
gulfstream g600,GA6C
gulfstream g650,GLF6
gulfstream g700,GL7T
gulfstream ii,GLF2
gulfstream iii,GLF3
gulfstream iv,GLF4
gulfstream v,GLF5
h-175,EC75
h175,EC75
harrier,HAR
harvard,TEX2
hawker hunter,HUNT
hawkeye,E2
hercules,C130
hind,MI8
hip,MI8
hornet,F18H
hughes 500,H500
hunter,HUNT
il-20,IL18
il-62,IL62
il-76,IL76
il-96,IL96
iroquois,UH1
j-stars,B703
jak-52,YK52
jas 39,SB39
jas-39,SB39
jayhawk,BE40
jayhawk,H60
jetranger,B06
ka-226,K226
ka-27,KA27
ka-32,KA27
kaydet,ST75
kc-10,DC10
kc-135,K35R
kc-135r,K35R
kc-46,B762
king air,BE20
king air 300,BE30
king air 350,B350
king air c90,BE9L
king stallion,H53S
l-39,L39
lancer,B1
learjet 31,LJ31
learjet 35,LJ35
learjet 40,LJ40
learjet 45,LJ45
learjet 60,LJ60
longranger,B06
lynx,LYNX
md 500,H500
md 902,EXPL
md-500,H500
mentor,T34T
merlin,EH10
mi-17,MI8
mi-8,MI8
mirage f.1,MRF1
mirage f1,MRF1
mitchell,B25
navajo,PA31
nh-90,NH90
nimrod,P3
orion,P3
osprey,V22
p-3,P3
p-8,P8
p-8a,P8
pa-18,PA18
pa-23,PA27
panther,AS65
pave hawk,H60
pegasus,B762
piper super cub,PA18
pitts,PTS2
pitts special,PTS2
poseidon,P8
premier,BE40
puma,PUMA
rc-135,R135
s-64,S64
s-76,S76
s-92,S92
sa 330,PUMA
sa-330,PUMA
sea king,S61
sea stallion,H53
seahawk,H60
sentry,E3TF
sikorsky black hawk,H60
skycrane,S64
skyhawk,A4
skyhawk,C172
skylane,C182
spartan,C27J
squirrel,AS50
stallion,H53
stationair,C206
stearman,ST75
stratofortress,B52
stratotanker,K35R
super cub,PA18
super hercules,C30J
super king air,BE20
super puma,AS32
super puma mk ii,EC25
t-1,BE40
t-34,T34T
t-38,T38
t-45,HAWK
t-6,T6
talon,T38
texan,T6
tg-16,DG1T
thunderbolt,A10
tiger moth,DH82
tornado,TOR
tu-134,T134
tu-154,T154
tu-204,T204
tucano,T6
tutor,G115
twin otter,DHC6
typhoon,EUFI
u-2,U2
u2,U2
uh-1,UH1
uh-60,H60
v-22,V22
vh-3,S61
vigilant,DG1T
vigilant t.1,DG1T
warthog,A10
y-20,Y20
yak-52,YK52
