match_key,normalized_type,category,tag1,tag2,tag3
A10,Fairchild-Republic A-10 Thunderbolt II,Attack / Strike,Close Air Support,Low Altitude,Twin Engine
A109,AgustaWestland AW109,Helicopter - Utility,Utility,Light Lift,Rotorcraft
A119,AgustaWestland AW119,Helicopter - Utility,Training,Light Lift,Rotorcraft
A124,Antonov An-124 Ruslan,Strategic Airlift,Strategic Transport,Heavy Lift,Quad Engine
A139,AgustaWestland AW139,Helicopter - Transport,Utility,Medium Lift,Rotorcraft
A140,Antonov An-140,Regional Passenger,Utility,Multi-Role,Twin Turboprop
A148,Antonov An-148,Regional Passenger,Utility,Multi-Role,Twin Engine
A169,Leonardo AW169,Helicopter - Utility,Utility,Medium Lift,Rotorcraft
A189,AgustaWestland AW189,Helicopter - Transport,Utility,Heavy Lift,Rotorcraft
A310,Airbus A310,Tanker,Refueling,Aerial Refueling,Twin Engine
A318,Airbus A318,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
A319,Airbus A319,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
A320,Airbus A320,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
A321,Airbus A321,Passenger - Narrowbody,Utility,Multi-Role,Twin Engine
A332,Airbus A330,Passenger - Widebody,Utility,Long Range,Twin Engine
A337,Airbus A330 Beluga XL,Special Mission,Utility,Heavy Lift,Twin Engine
A342,Airbus A340,Passenger - Widebody,Utility,Long Range,Quad Engine
A343,Airbus A340-300,Passenger - Widebody,Utility,Long Range,Quad Engine
A345,Airbus A340-500,Passenger - Widebody,Utility,Long Range,Quad Engine
A3ST,Airbus A300 Beluga,Special Mission,Utility,Heavy Lift,Twin Engine
A4,Douglas A-4 Skyhawk,Attack / Strike,Strike,Carrier Capable,Jet
A400,Airbus A400M Atlas,Tactical Airlift,Tactical Transport,Heavy Lift,Rear Ramp
A50,Beriev A-50,AEW&C,Early Warning,Long Range,Quad Engine
AC90,Rockwell Commander 690,Utility,Utility,Multi-Role,Twin Turboprop
AJET,Dassault-Breguet Alpha Jet,Trainer,Training,Multi-Role,Twin Engine
AN12,Antonov An-12,Tactical Airlift,Tactical Transport,Heavy Lift,Quad Engine
AN2,Antonov An-2,Utility,Utility,STOL,Single Engine
AN22,Antonov An-22,Strategic Airlift,Strategic Transport,Heavy Lift,Quad Engine
AN26,Antonov An-26,Tactical Airlift,Tactical Transport,Medium Lift,Twin Turboprop
AN30,Antonov An-30,ISR / Surveillance,ISR,Sensor Suite,Twin Turboprop
AN72,Antonov An-72,Tactical Airlift,Tactical Transport,STOL,Twin Engine
AS32,Airbus Helicopters AS332 Super Puma,Helicopter - Transport,Tactical Transport,Heavy Lift,Rotorcraft
AS50,Airbus Helicopters AS350 Écureuil,Helicopter - Utility,Utility,Light Lift,Rotorcraft
